S.N.,Open,High,Low,Close,Change,% Change,Turnover,Date
1,"2,799.37","2,812.29","2,765.18","2,770.26",-26.16,-0.93,"6,531,723,226.36",4/28/2026
2,"2,795.74","2,806.96","2,789.22","2,796.43",7.73,0.27,"4,748,809,127.76",4/27/2026
3,"2,794.89","2,794.89","2,759.78","2,788.70",1.54,0.05,"5,270,399,727.63",4/24/2026
4,"2,806.74","2,817.10","2,779.86","2,787.15",-17.01,-0.6,"5,095,905,757.17",4/23/2026
5,"2,810.44","2,818.20","2,762.37","2,804.17",-2.95,-0.1,"7,813,947,342.89",4/22/2026
6,"2,838.06","2,838.59","2,796.92","2,807.12",-18.1,-0.64,"5,774,317,879.28",4/21/2026
7,"2,831.80","2,846.39","2,813.24","2,825.23",-13.17,-0.46,"5,434,240,276.30",4/20/2026
8,"2,835.24","2,843.57","2,808.02","2,838.40",5.36,0.18,"7,460,698,098.47",4/17/2026
9,"2,868.76","2,869.67","2,822.68","2,833.03",-33.83,-1.18,"9,312,860,808.27",4/16/2026
10,"2,834.46","2,879.21","2,834.31","2,866.87",33.27,1.17,"10,537,008,796.56",4/15/2026
11,"2,842.26","2,849.09","2,827.06","2,833.60",-4.18,-0.14,"8,665,568,641.79",4/13/2026
12,"2,857.98","2,866.63","2,825.30","2,837.78",-13.45,-0.47,"8,993,280,967.98",4/10/2026
13,"2,805.17","2,854.66","2,797.49","2,851.24",48.71,1.73,"9,919,210,211.24",4/9/2026
14,"2,772.09","2,802.52","2,766.99","2,802.52",45.12,1.63,"8,318,908,441.51",4/8/2026
15,"2,762.77","2,794.94","2,743.36","2,757.40",-2.61,-0.09,"6,737,148,150.66",4/7/2026
16,"2,675.75","2,776.08","2,669.70","2,760.02",83.33,3.11,"10,928,506,863.01",4/6/2026
17,"2,778.27","2,778.58","2,672.50","2,676.68",-105.5,-3.79,"12,380,914,570.46",4/5/2026
18,"2,771.09","2,808.96","2,740.22","2,782.18",5.82,0.2,"8,819,723,335.29",4/2/2026
19,"2,851.53","2,851.65","2,761.27","2,776.36",-74.73,-2.62,"12,109,525,561.59",4/1/2026
20,"2,830.44","2,860.55","2,788.84","2,851.09",19.7,0.69,"11,112,418,806.95",3/31/2026
21,"2,881.80","2,891.53","2,821.82","2,831.39",-47.71,-1.65,"12,966,659,168.04",3/30/2026
22,"2,958.68","2,958.79","2,872.99","2,879.11",-71.05,-2.4,"15,033,310,867.98",3/29/2026
23,"2,933.89","2,951.28","2,918.22","2,950.16",14.21,0.48,"13,162,299,017.47",3/26/2026
24,"2,964.67","2,969.50","2,929.44","2,935.94",-24.45,-0.82,"15,090,416,846.15",3/25/2026
25,"2,943.61","2,960.40","2,928.34","2,960.40",23.83,0.81,"14,839,183,643.29",3/24/2026
26,"2,939.55","2,941.53","2,906.05","2,936.56",5.01,0.17,"15,786,313,440.11",3/23/2026
27,"2,891.07","2,939.08","2,890.68","2,931.55",54.51,1.89,"23,597,712,182.84",3/22/2026
28,"2,814.32","2,882.86","2,814.24","2,877.03",64.69,2.3,"21,223,494,886.97",3/19/2026
29,"2,800.71","2,812.34","2,787.37","2,812.34",13.51,0.48,"12,034,406,328.72",3/17/2026
30,"2,827.18","2,827.62","2,792.13","2,798.83",-26.07,-0.92,"11,974,696,088.00",3/16/2026
31,"2,824.87","2,839.35","2,808.57","2,824.90",4.45,0.15,"14,329,604,315.89",3/15/2026
32,"2,800.05","2,830.27","2,781.00","2,820.44",23.87,0.85,"14,551,946,230.26",3/12/2026
33,"2,852.62","2,854.48","2,793.39","2,796.57",-46.78,-1.64,"13,180,255,157.51",3/11/2026
34,"2,909.64","2,911.36","2,796.13","2,843.35",-32.08,-1.11,"21,502,031,320.33",3/10/2026
35,"2,757.13","2,875.43","2,757.12","2,875.43",162.93,6,"285,125,835.29",3/9/2026
36,"2,689.91","2,712.60","2,666.05","2,712.49",38.52,1.44,"6,234,381,480.75",3/3/2026
37,"2,661.44","2,674.20","2,626.70","2,673.97",19.04,0.71,"5,648,319,041.35",3/1/2026
38,"2,665.79","2,666.22","2,646.43","2,654.93",6.03,0.22,"4,174,630,515.28",2/26/2026
39,"2,637.96","2,653.65","2,637.79","2,648.90",10.3,0.39,"4,451,149,080.40",2/25/2026
40,"2,614.88","2,638.64","2,614.26","2,638.60",21.62,0.82,"4,232,407,613.55",2/24/2026
41,"2,613.40","2,627.06","2,608.95","2,616.97",2.41,0.09,"5,138,649,946.77",2/23/2026
42,"2,640.66","2,642.37","2,610.70","2,614.55",-27.59,-1.04,"6,699,721,204.47",2/22/2026
43,"2,663.57","2,665.82","2,636.40","2,642.15",-20.75,-0.77,"8,364,424,555.43",2/17/2026
